epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	1.7166301012039185	50.0	100.0	0.04
1	2	2	2.5049755573272705	25.0	100.0	0.04
1	3	3	7.063915252685547	50.0	100.0	0.04
1	4	4	0.6156210899353027	75.0	100.0	0.04
1	5	5	3.5426158905029297	50.0	100.0	0.04
1	6	6	2.0739283561706543	75.0	100.0	0.04
1	7	7	5.288905620574951	25.0	100.0	0.04
1	8	8	3.3573153018951416	50.0	100.0	0.04
1	9	9	2.776601552963257	25.0	100.0	0.04
1	10	10	2.0597424507141113	50.0	100.0	0.04
1	11	11	2.551701307296753	50.0	100.0	0.04
1	12	12	3.276167392730713	25.0	100.0	0.04
1	13	13	1.4902033805847168	50.0	100.0	0.04
1	14	14	5.085917949676514	25.0	100.0	0.04
1	15	15	1.3869796991348267	75.0	100.0	0.04
1	16	16	4.188355922698975	25.0	100.0	0.04
1	17	17	3.40917706489563	50.0	100.0	0.04
1	18	18	3.3772006034851074	25.0	100.0	0.04
1	19	19	1.7935750484466553	50.0	100.0	0.04
1	20	20	4.063724994659424	50.0	100.0	0.04
1	21	21	7.01226282119751	0.0	100.0	0.04
1	22	22	1.0982143878936768	75.0	100.0	0.04
1	23	23	4.94523286819458	0.0	100.0	0.04
1	24	24	6.956725120544434	0.0	100.0	0.04
1	25	25	1.4123854637145996	50.0	100.0	0.04
1	26	26	3.3008811473846436	50.0	100.0	0.04
1	27	27	1.9087294340133667	50.0	100.0	0.04
1	28	28	0.00524866720661521	100.0	100.0	0.04
1	29	29	2.4547653198242188	75.0	100.0	0.04
1	30	30	5.15001106262207	50.0	100.0	0.04
1	31	31	6.5380449295043945	25.0	100.0	0.04
1	32	32	2.451512336730957	75.0	100.0	0.04
1	33	33	0.8247673511505127	50.0	100.0	0.04
1	34	34	3.9482040405273438	25.0	100.0	0.04
1	35	35	2.6278936862945557	25.0	100.0	0.04
1	36	36	2.6745686531066895	0.0	100.0	0.04
1	37	37	5.661155700683594	0.0	100.0	0.04
1	38	38	1.0121104717254639	50.0	100.0	0.04
1	39	39	0.9324947595596313	50.0	100.0	0.04
1	40	40	3.481458902359009	25.0	100.0	0.04
1	41	41	4.015758037567139	0.0	100.0	0.04
1	42	42	3.452521324157715	25.0	100.0	0.04
1	43	43	0.3274208903312683	100.0	100.0	0.04
1	44	44	3.3976187705993652	25.0	100.0	0.04
1	45	45	2.0816550254821777	50.0	100.0	0.04
1	46	46	1.3833065032958984	75.0	100.0	0.04
1	47	47	1.1341067552566528	75.0	100.0	0.04
1	48	48	1.8511165380477905	25.0	100.0	0.04
1	49	49	1.3268369436264038	50.0	100.0	0.04
1	50	50	0.5644655227661133	75.0	100.0	0.04
1	51	51	0.5907293558120728	50.0	100.0	0.04
1	52	52	2.2885375022888184	50.0	100.0	0.04
1	53	53	1.1047334671020508	25.0	100.0	0.04
1	54	54	4.195785045623779	25.0	100.0	0.04
1	55	55	0.6397748589515686	75.0	100.0	0.04
1	56	56	1.6868822574615479	50.0	100.0	0.04
1	57	57	1.3028165102005005	25.0	100.0	0.04
1	58	58	1.5535964965820312	50.0	100.0	0.04
1	59	59	2.2626709938049316	50.0	100.0	0.04
1	60	60	2.1610283851623535	0.0	100.0	0.04
1	61	61	1.8089890480041504	25.0	100.0	0.04
1	62	62	2.3816487789154053	25.0	100.0	0.04
1	63	63	0.9439350366592407	75.0	100.0	0.04
1	64	64	1.922642707824707	25.0	100.0	0.04
1	65	65	1.1806703805923462	75.0	100.0	0.04
1	66	66	0.7042397856712341	50.0	100.0	0.04
1	67	67	2.121232032775879	50.0	100.0	0.04
1	68	68	0.645966649055481	75.0	100.0	0.04
1	69	69	2.6704673767089844	0.0	100.0	0.04
1	70	70	0.43025487661361694	75.0	100.0	0.04
1	71	71	0.37987199425697327	75.0	100.0	0.04
1	72	72	1.5159101486206055	25.0	100.0	0.04
1	73	73	2.920985221862793	50.0	100.0	0.04
1	74	74	1.9150030612945557	25.0	100.0	0.04
1	75	75	3.4101808071136475	0.0	100.0	0.04
1	76	76	1.9009987115859985	50.0	100.0	0.04
1	77	77	1.4845917224884033	0.0	100.0	0.04
1	78	78	1.4727100133895874	0.0	100.0	0.04
1	79	79	0.9593052864074707	50.0	100.0	0.04
1	80	80	1.8903647661209106	0.0	100.0	0.04
1	81	81	2.4142062664031982	25.0	100.0	0.04
1	82	82	1.5048370361328125	0.0	100.0	0.04
1	83	83	2.074845790863037	50.0	100.0	0.04
1	84	84	1.8389778137207031	50.0	100.0	0.04
1	85	85	2.3930983543395996	25.0	100.0	0.04
1	86	86	1.3042548894882202	50.0	100.0	0.04
1	87	87	1.4210073947906494	50.0	100.0	0.04
1	88	88	3.0223207473754883	0.0	100.0	0.04
1	89	89	1.242307424545288	50.0	100.0	0.04
1	90	90	0.8356344103813171	50.0	100.0	0.04
1	91	91	1.4779105186462402	50.0	100.0	0.04
1	92	92	1.2059662342071533	50.0	100.0	0.04
1	93	93	1.2590569257736206	50.0	100.0	0.04
1	94	94	1.6190199851989746	0.0	100.0	0.04
1	95	95	0.9202948808670044	50.0	100.0	0.04
1	96	96	1.886138916015625	25.0	100.0	0.04
1	97	97	1.186769962310791	25.0	100.0	0.04
1	98	98	1.9956811666488647	0.0	100.0	0.04
1	99	99	1.708137035369873	0.0	100.0	0.04
1	100	100	0.5898999571800232	50.0	100.0	0.04
1	101	101	1.0956063270568848	50.0	100.0	0.04
1	102	102	2.345294237136841	25.0	100.0	0.04
1	103	103	1.7225879430770874	25.0	100.0	0.04
1	104	104	1.3831610679626465	50.0	100.0	0.04
1	105	105	1.1866587400436401	50.0	100.0	0.04
1	106	106	2.479022979736328	50.0	100.0	0.04
1	107	107	0.07562221586704254	100.0	100.0	0.04
1	108	108	0.30028271675109863	100.0	100.0	0.04
1	109	109	2.0971646308898926	25.0	100.0	0.04
1	110	110	1.4580230712890625	50.0	100.0	0.04
1	111	111	1.1580393314361572	50.0	100.0	0.04
1	112	112	1.751396656036377	25.0	100.0	0.04
1	113	113	1.2796441316604614	25.0	100.0	0.04
1	114	114	0.9180023670196533	50.0	100.0	0.04
1	115	115	1.359729528427124	50.0	100.0	0.04
1	116	116	1.0182746648788452	25.0	100.0	0.04
1	117	117	1.310124158859253	0.0	100.0	0.04
1	118	118	1.2205144166946411	50.0	100.0	0.04
1	119	119	1.722934603691101	50.0	100.0	0.04
1	120	120	0.7367943525314331	50.0	100.0	0.04
1	121	121	0.9795659780502319	50.0	100.0	0.04
1	122	122	1.4983980655670166	25.0	100.0	0.04
1	123	123	0.30706965923309326	100.0	100.0	0.04
1	124	124	1.461547613143921	25.0	100.0	0.04
1	125	125	1.0075311660766602	50.0	100.0	0.04
1	126	126	1.3433071374893188	25.0	100.0	0.04
1	127	127	0.6172424554824829	75.0	100.0	0.04
1	128	128	0.24877789616584778	75.0	100.0	0.04
1	129	129	1.7337126731872559	50.0	100.0	0.04
1	130	130	2.8477630615234375	25.0	100.0	0.04
1	131	131	0.9009944200515747	75.0	100.0	0.04
1	132	132	1.638340950012207	50.0	100.0	0.04
1	133	133	2.3104095458984375	25.0	100.0	0.04
1	134	134	1.9108246564865112	0.0	100.0	0.04
1	135	135	1.7171061038970947	25.0	100.0	0.04
1	136	136	1.3350269794464111	25.0	100.0	0.04
1	137	137	2.9709224700927734	25.0	100.0	0.04
1	138	138	1.4683873653411865	0.0	100.0	0.04
1	139	139	1.3878132104873657	50.0	100.0	0.04
1	140	140	0.8830827474594116	75.0	100.0	0.04
1	141	141	1.5311273336410522	25.0	100.0	0.04
1	142	142	1.397881031036377	25.0	100.0	0.04
1	143	143	2.811337471008301	25.0	100.0	0.04
1	144	144	1.8322378396987915	25.0	100.0	0.04
1	145	145	1.4673622846603394	50.0	100.0	0.04
1	146	146	1.743476390838623	25.0	100.0	0.04
1	147	147	2.573669910430908	25.0	100.0	0.04
1	148	148	0.9136541485786438	50.0	100.0	0.04
1	149	149	0.44868171215057373	100.0	100.0	0.04
1	150	150	3.0586540699005127	25.0	100.0	0.04
1	151	151	1.2271037101745605	0.0	100.0	0.04
1	152	152	1.7328224182128906	25.0	100.0	0.04
1	153	153	1.5520144701004028	0.0	100.0	0.04
1	154	154	1.2889457941055298	25.0	100.0	0.04
1	155	155	1.514937162399292	25.0	100.0	0.04
1	156	156	1.1519805192947388	50.0	100.0	0.04
1	157	157	1.8917889595031738	0.0	100.0	0.04
1	158	158	1.1789109706878662	25.0	100.0	0.04
1	159	159	1.409836769104004	50.0	100.0	0.04
1	160	160	1.7088885307312012	0.0	100.0	0.04
1	161	161	1.5019673109054565	50.0	100.0	0.04
1	162	162	1.1825248003005981	50.0	100.0	0.04
1	163	163	1.502211570739746	50.0	100.0	0.04
1	164	164	1.7314006090164185	25.0	100.0	0.04
1	165	165	1.3952057361602783	25.0	100.0	0.04
1	166	166	1.2991923093795776	50.0	100.0	0.04
1	167	167	1.8910573720932007	50.0	100.0	0.04
1	168	168	0.8364279270172119	75.0	100.0	0.04
1	169	169	1.3501707315444946	50.0	100.0	0.04
1	170	170	1.591909408569336	25.0	100.0	0.04
1	171	171	1.006229281425476	50.0	100.0	0.04
1	172	172	0.7916687726974487	50.0	100.0	0.04
1	173	173	2.1794331073760986	0.0	100.0	0.04
1	174	174	1.006256341934204	50.0	100.0	0.04
1	175	175	1.1286541223526	50.0	100.0	0.04
1	176	176	0.8284205198287964	50.0	100.0	0.04
1	177	177	1.0722570419311523	25.0	100.0	0.04
1	178	178	1.1204124689102173	50.0	100.0	0.04
1	179	179	0.927854597568512	50.0	100.0	0.04
1	180	180	0.9079071283340454	50.0	100.0	0.04
1	181	181	1.2952687740325928	25.0	100.0	0.04
1	182	182	0.9052988886833191	25.0	100.0	0.04
1	183	183	1.1354637145996094	50.0	100.0	0.04
1	184	184	2.377023220062256	50.0	100.0	0.04
1	185	185	0.44781240820884705	75.0	100.0	0.04
1	186	186	1.0702890157699585	75.0	100.0	0.04
1	187	187	2.586313247680664	0.0	100.0	0.04
1	188	188	2.254446506500244	25.0	100.0	0.04
1	189	189	1.1113818883895874	25.0	100.0	0.04
1	190	190	1.1112394332885742	25.0	100.0	0.04
1	191	191	1.0930790901184082	25.0	100.0	0.04
1	192	192	0.7489767074584961	75.0	100.0	0.04
1	193	193	0.766327977180481	75.0	100.0	0.04
1	194	194	0.9754465818405151	50.0	100.0	0.04
1	195	195	1.4289844036102295	25.0	100.0	0.04
1	196	196	1.2787679433822632	25.0	100.0	0.04
1	197	197	0.9181841015815735	75.0	100.0	0.04
1	198	198	1.1609083414077759	25.0	100.0	0.04
1	199	199	0.8309634923934937	100.0	100.0	0.04
1	200	200	1.2606600522994995	25.0	100.0	0.04
1	201	201	2.5120651721954346	0.0	100.0	0.04
1	202	202	1.302305817604065	50.0	100.0	0.04
1	203	203	1.0584235191345215	50.0	100.0	0.04
1	204	204	1.4354476928710938	25.0	100.0	0.04
1	205	205	1.4201574325561523	25.0	100.0	0.04
1	206	206	1.0684698820114136	50.0	100.0	0.04
1	207	207	1.5510618686676025	25.0	100.0	0.04
1	208	208	1.2707221508026123	25.0	100.0	0.04
1	209	209	0.6367653608322144	75.0	100.0	0.04
1	210	210	1.7049736976623535	50.0	100.0	0.04
1	211	211	0.9681717753410339	75.0	100.0	0.04
1	212	212	1.05420982837677	50.0	100.0	0.04
1	213	213	0.8699520826339722	50.0	100.0	0.04
1	214	214	1.3124918937683105	25.0	100.0	0.04
1	215	215	0.9303010106086731	75.0	100.0	0.04
1	216	216	1.099815011024475	25.0	100.0	0.04
1	217	217	1.1040254831314087	25.0	100.0	0.04
1	218	218	1.2735354900360107	50.0	100.0	0.04
1	219	219	1.2299495935440063	25.0	100.0	0.04
1	220	220	0.6814868450164795	100.0	100.0	0.04
1	221	221	0.38415902853012085	100.0	100.0	0.04
1	222	222	1.4650331735610962	50.0	100.0	0.04
1	223	223	2.618370532989502	0.0	100.0	0.04
1	224	224	0.7807502150535583	75.0	100.0	0.04
1	225	225	0.5484117269515991	75.0	100.0	0.04
1	226	226	1.297131896018982	25.0	100.0	0.04
1	227	227	0.7986225485801697	50.0	100.0	0.04
1	228	228	1.587736964225769	50.0	100.0	0.04
1	229	229	1.2203595638275146	0.0	100.0	0.04
1	230	230	0.9384161233901978	50.0	100.0	0.04
1	231	231	1.3165035247802734	25.0	100.0	0.04
1	232	232	1.293755054473877	25.0	100.0	0.04
1	233	233	1.131661057472229	50.0	100.0	0.04
1	234	234	1.3058319091796875	50.0	100.0	0.04
1	235	235	1.7269926071166992	25.0	100.0	0.04
1	236	236	0.3339728116989136	100.0	100.0	0.04
1	237	237	1.7884093523025513	0.0	100.0	0.04
1	238	238	1.195241928100586	50.0	100.0	0.04
1	239	239	0.8279926776885986	50.0	100.0	0.04
1	240	240	1.0058226585388184	25.0	100.0	0.04
1	241	241	1.0797641277313232	25.0	100.0	0.04
1	242	242	0.4109339714050293	100.0	100.0	0.04
1	243	243	2.3981175422668457	0.0	100.0	0.04
1	244	244	1.3524909019470215	50.0	100.0	0.04
1	245	245	1.3790594339370728	25.0	100.0	0.04
